id,name,population,area,lat,lon
6187,Nyiradony,7605,9656,47.6914,21.9054
6196,Barbacs,776,1365,47.6457,17.2963
6202,Lakitelek,4628,5466,46.8736,20.0004
6211,Hollad,212,820,46.6398,17.3084
6220,Bodonhely,289,1110,47.5649,17.4073
6239,Vadosfa,112,419,47.4991,17.1285
6248,Pinkamindszent,174,1101,47.0388,16.4839
6257,Zsadany,1670,6584,46.9217,21.4862
6266,Hosszupalyi,5491,7918,47.3918,21.7335
6275,Zajta,402,919,47.9086,22.797
6284,Pitvaros,1292,1314,46.3213,20.7362
6293,Ujhartyan,2717,2243,47.22,19.3841
6309,Nagyrabe,1989,8542,47.2046,21.3192
6318,Nagyrev,644,2979,46.9456,20.1427
6327,Bakonypoloske,386,1104,47.2107,17.488
6336,Kozarmisleny,6215,1445,46.0488,18.2861
6345,Aldebro,719,2178,47.7893,20.2305
6354,Pusztamerges,968,2439,46.3284,19.6857
6363,Dorgicse,235,1912,46.9157,17.7236
6372,Pomaz,17284,4903,47.6468,19.0236
6381,Tolmacs,773,1221,47.9294,19.1091
6390,Bozzai,290,443,47.2073,16.7653
6406,Jakfa,495,2011,47.3384,16.955
6415,Kakics,192,1489,45.9031,17.8575
6424,Kaposszerdahely,897,885,46.3226,17.7557
6433,Tiszadada,2110,4875,48.0308,21.2366
6442,Kalocsa,15280,5318,46.523,18.9825
6451,Gamas,731,4292,46.6202,17.7626
6460,Fuzerkajata,98,1144,48.5199,21.499
6479,Lapancsa,179,436,45.8192,18.4965
6488,Nagyecsed,6171,4385,47.8627,22.3871
6497,Bonyhad,12837,7214,46.2984,18.5322
6503,Atany,1450,5044,47.6165,20.3628
6512,Kismanyok,304,543,46.2736,18.4748
6521,Gyermely,1473,4546,47.5911,18.6439
6530,Pusztamagyarod,532,1602,46.6017,16.8201
6549,Vindornyalak,59,451,46.8861,17.1941
6558,Bolcske,2643,5878,46.7403,18.9695
6567,Sormas,856,1637,46.4606,16.9158
6576,Mezoszentgyorgy,1273,2712,46.994,18.2738
6585,Galosfa,203,1976,46.2562,17.8855
6594,Domos,1142,2399,47.7636,18.9111
6600,Somogyszentpal,781,2896,46.6416,17.4739
6619,Borcs,1320,1276,47.685,17.5007
6628,Szecseny,5615,4567,48.0803,19.5207
6637,Varsad,337,2156,46.5247,18.5193
6646,Jobahaza,570,806,47.5818,17.1865
6655,Hejobaba,1876,1872,47.9051,20.9448
6664,Ete,600,2062,47.532,18.0748
6673,Ajka,27736,9505,47.1057,17.5587
6682,Aka,262,1810,47.4044,18.0697
6691,Kazincbarcika,25981,3664,48.2544,20.6223
6707,Borsodivanka,707,1589,47.6988,20.6563
6716,Nadasd,1300,3560,46.9651,16.6129
6725,Borjad,370,1559,45.9353,18.4684
6734,Csosz,967,1711,47.0365,18.4172
6743,Diosjeno,2869,5750,47.9395,19.0437
6761,Nagyszekely,387,3671,46.6474,18.528
6770,Markotabodoge,488,1629,47.6817,17.3104
6789,Kemse,59,896,45.8232,17.9125
6798,Hidas,2035,1906,46.2584,18.4965
6804,Kotegyan,1336,4295,46.7347,21.4791
6813,Magocs,2191,4254,46.3498,18.2286
6822,Csobanka,3450,2276,47.6437,18.9672
6831,Kishajmas,167,1176,46.2006,18.0823
6840,Soskut,3381,2489,47.4047,18.8306
6859,Torokbalint,14045,2940,47.435,18.913
6868,Adorjas,188,810,45.8499,18.0641
6877,Visz,191,602,46.726,17.7831
6886,Aranyosgadany,323,826,46.0079,18.1192
6895,Kophaza,2099,873,47.6384,16.6432
6901,Tengelic,2164,7093,46.5319,18.7108
6910,Belavar,299,2278,46.1217,17.2149
6929,Bekecs,2364,2572,48.1516,21.1711
6938,Vallaj,1178,2227,47.7642,22.3822
6947,Szokolya,1975,5905,47.8668,19.0089
6956,Feherto,491,1138,47.6762,17.3453
6965,Katadfa,136,439,45.9982,17.8696
6974,Cserepfalu,942,4465,47.943,20.536
6992,Kovagotottos,303,1394,46.0843,18.1003
7001,Nagykaracsony,1283,3046,46.8667,18.775
7010,Paprad,149,1211,45.8927,18.0106
7029,Mucsi,407,2476,46.4272,18.395
7038,Lenarddaroc,241,516,48.1486,20.372
7047,Baracs,3393,5518,46.9133,18.8658
7056,Oreglak,1462,2072,46.6055,17.6286
7065,Varoslod,1258,2227,47.1461,17.6541
7074,Vazsnok,132,475,46.2655,18.1249
7083,Tiszanana,2443,6814,47.5565,20.5293
7092,Szentbekkalla,176,1070,46.8865,17.5646
7108,Tinnye,1769,1610,47.6209,18.7779
7117,Balatonfoldvar,2144,1532,46.8491,17.8792
7126,Hetvehely,455,2138,46.1321,18.0442
7135,Cserszegtomaj,3087,1260,46.8059,17.2316
7144,Piliscsaba,8534,2557,47.6329,18.8261
7153,Palkonya,249,1000,45.8953,18.3908
7162,Pacsony,267,1001,47.0157,16.8508
7171,Sorkifalud,667,1737,47.1307,16.7511
7180,Sarud,1092,5162,47.5885,20.5967
7199,Patak,940,1615,48.0192,19.1449
7205,Ujvarfalva,259,1222,46.434,17.5739
7214,Acsad,679,1434,47.323,16.7342
7223,Vadna,666,781,48.2736,20.5561
7232,Zalaszentlaszlo,804,1966,46.8758,17.1122
7241,Apc,2466,2046,47.7963,19.6916
7250,Hosztot,64,727,47.0867,17.2401
7269,Lepseny,2987,3908,46.9943,18.2443
7278,Puspokmolnari,866,1510,47.091,16.7965
7287,Bakonykoppany,207,683,47.3305,17.6866
7296,Bogote,271,2074,47.0873,17.0437
7302,Adasztevel,759,837,47.3041,17.5401
7311,Bokod,2062,2993,47.4934,18.2421
7320,Debercseny,68,543,47.9649,19.3162
7339,Aszofo,400,832,46.9289,17.8334
7348,Papkeszi,1502,2239,47.082,18.0817
7357,Mako,22390,22923,46.215,20.4751
7366,Szarasz,27,598,46.3488,18.3726
7375,Balatonkeresztur,1563,2106,46.6977,17.3704
7384,Solymar,10596,1786,47.59,18.9346
7393,Gerendas,1187,4078,46.5975,20.8577
7409,Paszto,9099,7260,47.9211,19.6998
7418,Kengyel,3439,7914,47.0946,20.3424
7427,Bazsi,396,910,46.9328,17.2439
7436,Parad,1943,3720,47.9235,20.0305
7445,Kocsord,2901,2547,47.9391,22.387
7463,Merk,2060,2508,47.782,22.3783
7472,Berkesz,867,1318,48.0921,21.9787
7481,Gyorujbarat,7587,3361,47.6134,17.6366
7490,Toszeg,4335,5917,47.1006,20.1475
7506,Lajoskomarom,2155,7567,46.8418,18.3372
7515,Domoszlo,1902,4022,47.8263,20.1163
7524,Dragszel,285,1259,46.4672,19.0387
7533,Burus,63,1630,45.9643,17.7595
7542,Szentlorinckata,1918,2015,47.522,19.7558
7551,Radockolked,306,1895,47.0765,16.5862
7560,Gare,288,853,45.9187,18.1941
7579,Zalabaksa,639,1611,46.7068,16.5523
7588,Felsoregmec,303,1075,48.4908,21.6048
7597,Tiszavasvari,12376,12854,47.9566,21.3681
7603,Banfa,178,1206,45.996,17.881
7612,Dunavecse,3806,6677,46.9164,18.9717
7621,Alsotold,231,786,47.9541,19.5969
7630,Komlod,1072,2284,47.5471,18.2606
7649,Harka,2622,1100,47.6342,16.6023
7658,Nemeshetes,265,661,46.8024,16.9144
7667,Oszko,659,2031,47.0465,16.8745
7676,Gyulahaza,1876,2207,48.1379,22.1117
7685,Dombovar,18019,7848,46.3779,18.1333
7694,Szoked,304,958,45.9629,18.289
7700,Szepetnek,1525,3039,46.4335,16.8995
7719,Damoc,318,1599,48.3775,22.0343
7728,Kunbaracs,611,5511,46.9893,19.4005
7737,Merenye,245,1447,46.0697,17.6985
7746,Repcevis,322,609,47.4405,16.674
7755,Ofoldeak,520,3509,46.2964,20.437
7764,Kano,150,1378,48.4273,20.5996
7773,Dencshaza,553,1398,45.9933,17.8349
7782,Dobroce,84,270,46.9373,17.1894
7807,Isaszeg,11513,5483,47.5303,19.4017
7816,Kisbodak,366,910,47.8965,17.42
7825,Monok,1495,4196,48.2122,21.1498
7834,Derekegyhaz,1527,5378,46.5821,20.356
7843,Jankmajtis,1707,2503,47.94,22.6492
